"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2854","Login successfully with valid admin credentials","tests","2026-08-18","passed","2026-08-18","TestLogin","test_login","",""
"","10729","Login failed with empty_both credentials","tests","2026-08-18","passed","2026-08-18","TestLogin","test_login","",""
"","2736","Login failed with wrong_username credentials","tests","2026-08-18","passed","2026-08-18","TestLogin","test_login","",""
"","10658","Login failed with empty_password credentials","tests","2026-08-18","passed","2026-08-18","TestLogin","test_login","",""
"","13797","Login failed with empty_username credentials","tests","2026-08-18","passed","2026-08-18","TestLogin","test_login","",""
"","4633","Logout successfully","tests","2026-08-18","passed","2026-08-18","TestLogin","test_login","",""
"","3031","Login failed with wrong_password credentials","tests","2026-08-18","passed","2026-08-18","TestLogin","test_login","",""
"","5301","Login failed with wrong_both credentials","tests","2026-08-18","passed","2026-08-18","TestLogin","test_login","",""
